sadei;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Resultados de las Elecciones a la Junta General del Principado de Asturias;;;;;;;;;;;;;;;;
26 de Mayo de 2019;;;;;;;;;;;;;;;;
ASTURIAS;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Número;% sobre el total de votos válidos;% sobre el total del censo;Diputados;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Diputados a elegir;;;;45;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Censo electoral;973.737;;100,00;;;;;;;;;;;;;
Votos emitidos;536.734;;55,12;;;;;;;;;;;;;
Abstención;437.003;;44,88;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;
Votos emitidos;536.734;;55,12;;;;;;;;;;;;;
Votos a candidaturas;525.846;;54,00;;;;;;;;;;;;;
Votos en blanco;5.858;;0,60;;;;;;;;;;;;;
Votos nulos;5.030;;0,52;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;
Votos válidos;531.704;100,00;54,60;;;;;;;;;;;;;
Partido Socialista Obrero Español (PSOE);187.462;35,26;19,25;20;;;;;;;;;;;;
Partido Popular (PP);93.147;17,52;9,57;10;;;;;;;;;;;;
Ciudadanos-Partido de la Ciudadanía (C's);74.271;13,97;7,63;5;;;;;;;;;;;;
Podemos Asturies (PODEMOS ASTURIES);58.674;11,04;6,03;4;;;;;;;;;;;;
Asturias por la Izquierda?Asturies pela Izquierda (IU?IAS);35.174;6,62;3,61;2;;;;;;;;;;;;
Foro de Ciudadanos (FAC);34.687;6,52;3,56;2;;;;;;;;;;;;
Vox (VOX);34.210;6,43;3,51;2;;;;;;;;;;;;
Partido Antitaurino Contra el Maltrato Animal (PACMA);3.426;0,64;0,35;;;;;;;;;;;;;
Verdes-Equo (V-Q);2.128;0,40;0,22;;;;;;;;;;;;;
Andecha Astur (ANDECHA);1.584;0,30;0,16;;;;;;;;;;;;;
Partido Comunista de los Trabajadores de España (PCTE);1.083;0,20;0,11;;;;;;;;;;;;;
Votos en blanco;5.858;1,10;0,60;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;
Año de referencia: 2019;;;;;;;;;;;;;;;;
Fuente: Ministerio del Interior. Elaborado por SADEI;;;;;;;;;;;;;;;;
Tipo de datos: Definitivos;;;;;;;;;;;;;;;;
Última actualización: 05/06/2019;;;;;;;;;;;;;;;;
