Cód Cir;Cód Con;Concello;;Censo;Certif Alta;Censo Total;Votos Totais;Votos nulos;Votos brancos;Abstención;Votos Válidos;Votos Candidaturas;BNG;DO;ECG;ESCANOS EN BRANCO;PACMA;PODEMOS-ALIANZA VERDE;PP;PSdeG-PSOE;PUM+J;SUMAR GALICIA;VOX
32;003;A Arnoia;;864;0;864;644;5;2;220;639;637;136;13;0;1;0;0;396;88;0;1;2
32;014;A Bola;;951;0;951;723;2;1;228;721;720;172;19;2;1;2;1;468;43;0;0;12
32;034;A Gudiña;;992;0;992;719;6;6;273;713;707;180;11;0;1;0;0;369;131;0;4;11
32;047;A Merca;;1713;0;1713;1242;1;1;471;1241;1240;285;83;1;1;2;0;750;97;0;5;16
32;048;A Mezquita;;811;0;811;507;3;0;304;504;504;177;9;2;0;0;1;215;93;0;0;7
32;059;A Peroxa;;1593;0;1593;1143;6;7;450;1137;1130;189;94;1;1;4;0;672;150;0;2;17
32;063;A Pobra de Trives;;1713;0;1713;1163;7;13;550;1156;1143;241;24;1;4;3;0;576;270;0;6;18
32;072;A Rúa;;3506;0;3506;2269;24;15;1237;2245;2230;617;51;2;0;5;1;1128;358;1;22;45
32;080;A Teixeira;;303;0;303;230;2;2;73;228;226;79;10;0;0;0;0;115;13;0;4;5
32;083;A Veiga;;800;0;800;524;5;0;276;519;519;105;4;0;1;0;0;336;63;1;3;6
32;001;Allariz;;5215;0;5215;3636;33;27;1579;3603;3576;1895;136;1;4;5;4;1229;237;2;30;33
32;002;Amoeiro;;2085;10;2095;1457;2;7;638;1455;1448;314;150;3;2;2;2;684;260;0;3;28
32;004;Avión;;1532;0;1532;785;2;3;747;783;780;50;9;0;0;1;0;661;31;0;1;27
32;005;Baltar;;743;0;743;559;4;2;184;555;553;86;23;0;1;1;0;391;47;0;0;4
32;006;Bande;;1339;0;1339;994;6;7;345;988;981;152;16;2;0;0;2;680;112;1;2;14
32;008;Barbadás;;8774;0;8774;5832;43;41;2942;5789;5748;1641;768;5;6;20;12;2509;637;5;48;97
32;007;Baños de Molgas;;1376;0;1376;934;2;3;442;932;929;239;45;0;0;3;0;555;76;1;9;1
32;010;Beade;;325;0;325;246;1;3;79;245;242;56;4;1;0;0;0;134;43;0;0;4
32;011;Beariz;;879;0;879;478;7;1;401;471;470;48;3;0;0;0;0;395;13;0;5;6
32;013;Boborás;;1942;0;1942;1340;3;4;602;1337;1333;177;32;3;1;1;0;982;109;0;5;23
32;016;Calvos de Randín;;612;0;612;431;4;2;181;427;425;53;13;0;1;0;1;159;194;0;0;4
32;018;Carballeda de Avia;;1100;0;1100;803;10;5;297;793;788;148;19;1;1;1;2;378;223;0;1;14
32;017;Carballeda de Valdeorras;;1068;0;1068;734;3;2;334;731;729;92;8;14;0;1;1;513;84;0;3;13
32;020;Cartelle;;2309;0;2309;1717;3;5;592;1714;1709;383;68;0;0;1;0;1068;168;0;4;17
32;022;Castrelo de Miño;;1192;0;1192;879;7;8;313;872;864;218;22;0;0;2;1;471;140;0;2;8
32;021;Castrelo do Val;;857;0;857;610;3;6;247;607;601;146;9;0;2;5;1;257;171;0;3;7
32;023;Castro Caldelas;;1101;0;1101;790;8;2;311;782;780;143;28;0;0;5;0;430;151;1;2;20
32;024;Celanova;;4741;0;4741;3225;15;22;1516;3210;3188;839;164;3;2;5;3;1763;349;0;9;51
32;025;Cenlle;;936;0;936;730;11;1;206;719;718;186;16;9;0;3;0;430;62;0;5;7
32;029;Chandrexa de Queixa;;457;0;457;304;3;0;153;301;301;47;9;0;0;0;0;212;30;0;0;3
32;026;Coles;;2754;1;2755;1882;10;13;873;1872;1859;452;189;0;2;7;3;864;303;0;16;23
32;027;Cortegada;;919;0;919;679;6;4;240;673;669;112;30;0;1;0;4;445;68;0;2;7
32;028;Cualedro;;1457;0;1457;1033;6;4;424;1027;1023;152;24;0;1;1;0;766;61;0;1;17
32;030;Entrimo;;906;1;907;626;1;3;281;625;622;91;18;2;1;2;1;201;297;0;1;8
32;031;Esgos;;981;0;981;723;7;5;258;716;711;150;52;0;1;0;0;441;54;0;2;11
32;033;Gomesende;;604;0;604;383;3;5;221;380;375;77;9;0;0;0;0;249;36;0;1;3
32;038;Larouco;;389;0;389;254;3;1;135;251;250;51;3;0;2;0;0;157;31;0;2;4
32;039;Laza;;1070;0;1070;782;3;4;288;779;775;214;15;4;0;2;4;439;86;0;2;9
32;040;Leiro;;1313;0;1313;959;3;4;354;956;952;172;29;2;1;1;4;610;114;0;3;16
32;041;Lobeira;;690;0;690;433;5;0;257;428;428;72;25;0;2;1;2;263;53;0;2;8
32;042;Lobios;;1570;0;1570;990;8;8;580;982;974;142;45;0;1;1;13;605;155;1;2;9
32;043;Maceda;;2418;0;2418;1610;19;18;808;1591;1573;488;98;10;2;2;0;756;184;1;5;27
32;044;Manzaneda;;714;0;714;539;5;2;175;534;532;133;15;1;1;2;0;288;85;0;4;3
32;045;Maside;;2328;0;2328;1646;25;9;682;1621;1612;291;56;21;2;7;0;905;293;3;7;27
32;046;Melón;;1023;0;1023;695;7;1;328;688;687;173;11;0;3;1;1;361;124;0;2;11
32;049;Montederramo;;630;0;630;441;0;4;189;441;437;176;12;0;0;0;0;221;19;0;1;8
32;050;Monterrei;;2179;0;2179;1659;11;11;520;1648;1637;446;26;0;2;1;1;1036;112;0;2;11
32;051;Muíños;;1319;0;1319;1054;7;5;265;1047;1042;124;20;0;0;3;0;772;115;1;3;4
32;052;Nogueira de Ramuín;;1819;1;1820;1308;3;11;512;1305;1294;220;97;0;0;1;1;840;108;1;4;22
32;009;O Barco de Valdeorras;;10133;5;10138;6260;52;47;3878;6208;6161;1412;124;17;4;15;6;3213;1136;5;59;170
32;015;O Bolo;;735;0;735;458;3;3;277;455;452;75;7;1;0;1;0;309;49;0;2;8
32;019;O Carballiño;;11281;0;11281;7421;57;54;3860;7364;7310;1629;293;254;11;20;13;4168;720;2;52;148
32;035;O Irixo;;1251;0;1251;814;1;5;437;813;808;143;23;8;0;2;2;513;91;0;1;25
32;058;O Pereiro de Aguiar;;5503;0;5503;4036;21;22;1467;4015;3993;908;453;1;1;10;8;2189;338;4;24;57
32;012;Os Blancos;;650;0;650;447;3;1;203;444;443;97;14;0;0;0;0;272;53;0;2;5
32;054;Ourense;;83548;13;83561;57694;358;404;25867;57336;56932;15737;10236;72;52;156;88;22520;6928;65;309;769
32;053;Oímbra;;1256;0;1256;960;7;9;296;953;944;227;10;1;1;1;0;626;71;0;0;7
32;055;Paderne de Allariz;;1187;0;1187;816;6;7;371;810;803;179;66;0;2;4;1;455;82;0;5;9
32;056;Padrenda;;1368;0;1368;985;5;5;383;980;975;100;22;7;0;0;0;695;140;0;0;11
32;057;Parada de Sil;;463;0;463;297;1;2;166;296;294;64;26;2;0;2;1;115;79;1;0;4
32;060;Petín;;745;0;745;500;4;6;245;496;490;135;12;1;0;0;2;212;116;0;3;9
32;061;Piñor;;991;0;991;783;2;4;208;781;777;125;14;37;1;1;0;525;61;0;4;9
32;064;Pontedeva;;419;0;419;308;0;1;111;308;307;43;4;0;0;0;0;227;29;0;1;3
32;062;Porqueira;;780;0;780;588;3;2;192;585;583;100;5;0;2;1;0;434;39;0;0;2
32;065;Punxín;;660;0;660;409;1;1;251;408;407;104;21;1;0;0;0;218;57;0;0;6
32;066;Quintela de Leirado;;516;0;516;351;0;0;165;351;351;13;6;0;0;0;0;316;14;0;0;2
32;067;Rairiz de Veiga;;1119;0;1119;786;3;2;333;783;781;194;19;0;2;1;0;423;128;0;0;14
32;068;Ramirás;;1312;0;1312;863;5;3;449;858;855;236;15;0;0;1;2;429;159;0;5;8
32;069;Ribadavia;;4170;0;4170;3145;19;10;1025;3126;3116;997;85;2;5;8;4;1442;499;3;27;44
32;071;Riós;;1244;0;1244;806;7;3;438;799;796;173;12;0;0;0;0;439;167;1;0;4
32;073;Rubiá;;1233;0;1233;853;7;5;380;846;841;144;13;0;0;0;4;460;192;2;9;17
32;074;San Amaro;;938;0;938;682;4;1;256;678;677;118;21;8;0;3;0;435;73;0;1;18
32;075;San Cibrao das Viñas;;4563;0;4563;3464;31;19;1099;3433;3414;682;316;1;0;4;6;2027;299;2;13;64
32;076;San Cristovo de Cea;;1831;0;1831;1386;10;5;445;1376;1371;269;60;25;0;1;0;897;95;0;3;21
32;070;San Xoán de Río;;481;0;481;301;2;2;180;299;297;43;9;0;2;1;0;202;32;0;1;7
32;077;Sandiás;;1019;0;1019;706;0;4;313;706;702;165;32;0;0;2;1;377;108;0;2;15
32;078;Sarreaus;;1004;0;1004;745;6;5;259;739;734;151;11;0;3;0;0;491;67;0;2;9
32;079;Taboadela;;1333;0;1333;944;8;8;389;936;928;212;90;0;0;2;1;459;148;0;3;13
32;081;Toén;;2008;0;2008;1546;8;8;462;1538;1530;297;108;1;2;0;2;857;235;0;4;24
32;082;Trasmiras;;1112;0;1112;791;3;7;321;788;781;250;13;1;0;0;0;449;56;0;1;11
32;084;Verea;;856;0;856;622;1;4;234;621;617;333;10;0;0;0;1;231;28;1;1;12
32;085;Verín;;10411;1;10412;6734;63;36;3678;6671;6635;2031;129;5;6;9;9;3427;881;3;23;112
32;086;Viana do Bolo;;2389;0;2389;1463;13;7;926;1450;1443;390;18;0;4;3;1;826;173;0;8;20
32;088;Vilamartín de Valdeorras;;1586;0;1586;926;13;4;660;913;909;170;13;0;0;2;3;466;214;0;16;25
32;087;Vilamarín;;1629;0;1629;1208;16;9;421;1192;1183;263;88;0;1;2;2;714;87;1;3;22
32;089;Vilar de Barrio;;1122;0;1122;772;5;6;350;767;761;216;35;0;0;1;1;417;80;0;5;6
32;090;Vilar de Santos;;698;0;698;534;2;3;164;532;529;317;13;0;1;0;0;170;20;0;0;8
32;091;Vilardevós;;1523;0;1523;1134;5;7;389;1129;1122;190;6;3;0;2;3;596;306;0;3;13
32;092;Vilariño de Conso;;474;0;474;339;6;3;135;333;330;89;6;0;0;1;3;192;33;0;0;6
32;032;Xinzo de Limia;;7715;0;7715;5211;52;33;2504;5159;5126;1544;151;2;3;11;6;2765;525;3;15;101
32;036;Xunqueira de Ambía;;1194;0;1194;927;2;8;267;925;917;285;44;0;0;1;0;525;41;0;5;16
32;037;Xunqueira de Espadanedo;;603;0;603;427;0;3;176;427;424;78;25;0;1;0;1;276;35;1;2;5
32;990;Residentes ausentes-Ourense;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Total;;;;251965;32;251997;173786;1178;1088;78211;172608;171520;43758;15312;541;156;372;237;86144;21425;113;855;2607
